id,name_ar,name_en
morning,أذكار الصباح,Morning
evening,أذكار المساء,Evening
sleep,أذكار النوم,Sleep
after_prayer,أذكار بعد الصلاة,After Prayer
general,أذكار عامة,General
hisn_almuslim,حصن المسلم,Fortress of the Muslim
